algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,32259,1,"{'class_weight': 'balanced', 'eta0': 0.8204345375123961, 'learning_rate': 'adaptive', 'loss': 'huber', 'penalty': None}",0.999691532,0.999594664,0.999788438,0.999788479,0.999594585,0.999691562,0.999691502,0.999383083,56732,56732,113464,0.999691551,0.999691532,0.999691532,0.999691551,0.999691532,0.999691532,0.955554968,0.940755142,0.971383235,0.972344138,0.938765798,0.956288842,0.954796031,0.911624011,18911,18911,37822,0.956069188,0.955554968,0.955542436,0.956069188,0.955554968,0.955542436
SGDClassifier,tfidf,16719,2,"{'class_weight': 'balanced', 'eta0': 0.7932443044532016, 'learning_rate': 'adaptive', 'loss': 'modified_huber', 'penalty': None}",1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966025065,0.963062211,0.969026078,0.969224261,0.962825869,0.966133411,0.965916023,0.932069209,18911,18911,37822,0.966044144,0.966025065,0.966024717,0.966044144,0.966025065,0.966024717
SGDClassifier,tfidf,27131,2,"{'class_weight': 'balanced', 'eta0': 0.9285208876910015, 'learning_rate': 'adaptive', 'loss': 'perceptron', 'penalty': None}",1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.962138438,0.961162999,0.963118012,0.963196023,0.961080852,0.962178437,0.962098354,0.924278943,18911,18911,37822,0.962140506,0.962138438,0.962138396,0.962140506,0.962138438,0.962138396
SGDClassifier,tfidf,23477,2,"{'class_weight': 'balanced', 'eta0': 0.02735348657157266, 'learning_rate': 'adaptive', 'loss': 'perceptron', 'penalty': None}",1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96126593,0.958574282,0.963989362,0.96420073,0.95833113,0.961379274,0.961151919,0.922547752,18911,18911,37822,0.961281822,0.96126593,0.961265596,0.961281822,0.96126593,0.961265596
SGDClassifier,tfidf,23032,2,"{'class_weight': 'balanced', 'eta0': 0.6089464017034333, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'penalty': None}",0.996219065,0.995860708,0.99657794,0.996580413,0.995857717,0.996220431,0.996217698,0.992438389,56732,56732,113464,0.996219324,0.996219065,0.996219065,0.996219324,0.996219065,0.996219065,0.956453916,0.950804262,0.962246974,0.96272011,0.950187721,0.956725085,0.956179327,0.912979531,18911,18911,37822,0.956525618,0.956453916,0.956452206,0.956525618,0.956453916,0.956452206
SGDClassifier,tfidf,28414,2,"{'class_weight': 'balanced', 'eta0': 0.21123039040974967, 'learning_rate': 'adaptive', 'loss': 'squared_epsilon_insensitive', 'penalty': None}",0.999991187,0.999982374,1,1,0.999982373,0.999991187,0.999991187,0.999982373,56732,56732,113464,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.957114907,0.939409343,0.976307235,0.977261911,0.936967902,0.957961849,0.956233135,0.914972893,18911,18911,37822,0.957858289,0.957114907,0.957097492,0.957858289,0.957114907,0.957097492
SGDClassifier,tfidf,23512,2,"{'class_weight': 'balanced', 'eta0': 0.03732420095868372, 'learning_rate': 'adaptive', 'loss': 'squared_hinge', 'penalty': None}",0.999964747,0.999947122,0.999982373,0.999982373,0.99994712,0.999964747,0.999964746,0.999929494,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.965919306,0.960585468,0.97137813,0.971709587,0.960129025,0.966115507,0.96572082,0.931901103,18911,18911,37822,0.965981799,0.965919306,0.965918164,0.965981799,0.965919306,0.965918164
SGDClassifier,tfidf,20962,2,"{'class_weight': 'balanced', 'eta0': 0.037667324376740474, 'learning_rate': 'constant', 'loss': 'modified_huber', 'penalty': None}",0.999964747,0.999947122,0.999982373,0.999982373,0.99994712,0.999964747,0.999964746,0.999929494,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.966315901,0.962209759,0.970495652,0.97075776,0.961874042,0.966464859,0.966165613,0.932668606,18911,18911,37822,0.966352706,0.966315901,0.966315236,0.966352706,0.966315901,0.966315236
SGDClassifier,tfidf,17519,3,"{'class_weight': 'balanced', 'eta0': 0.05207990077300695, 'learning_rate': 'constant', 'loss': 'hinge', 'penalty': None}",0.999435944,0.999154394,0.999717813,0.999717972,0.999153917,0.999436103,0.999435785,0.998872048,56732,56732,113464,0.999436103,0.999435944,0.999435944,0.999436103,0.999435944,0.999435944,0.965813548,0.961107621,0.970616519,0.970916398,0.960710697,0.96598711,0.965638205,0.931675617,18911,18911,37822,0.96586207,0.965813548,0.965812657,0.96586207,0.965813548,0.965812657
SGDClassifier,tfidf,78063,2,"{'class_weight': 'balanced', 'eta0': 0.15505075043919336, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': None}",0.983501375,0.979210342,0.987869949,0.987978566,0.979024184,0.983574913,0.983427175,0.96704152,56732,56732,113464,0.983540146,0.983501375,0.983501044,0.983540146,0.983501375,0.983501044,0.952567289,0.946755755,0.958532012,0.95907144,0.946063138,0.952873805,0.95225676,0.905211169,18911,18911,37822,0.952643883,0.952567289,0.952565282,0.952643883,0.952567289,0.952565282
,,,,,,,,,,,,,,,,,,,,,,0.960916927,,,,,,,,,,,,,,,,
